country,food_group,food_supply
Belarus,Spices and condiments,1.6
Belarus,Sweets and sugars,559.6
Belarus,Vegetables and their products,116.4
Belgium,Beverages,200.8
Belgium,Cereals and their products,741.2
Belgium,Eggs and their products,65.6
Belgium,Fats and oils,1051.6
Belgium,"Fish, shellfish and their products",38.6
Belgium,Foods for particular nutritional uses,2.5
Belgium,Fruits and their products,105.0
Belgium,Meat and meat products,293.4
Belgium,Milk and milk products,494.4
Belgium,"Pulses, seeds and nuts and their products",102.2
Belgium,"Roots, tubers, plantains and their products",164.6
Belgium,Spices and condiments,10.4
Belgium,Sweets and sugars,520.2
Belgium,Vegetables and their products,105.8
Belize,Beverages,124.0
Belize,Cereals and their products,980.6
Belize,Eggs and their products,16.8
Belize,Fats and oils,512.6
Belize,"Fish, shellfish and their products",23.0
Belize,Foods for particular nutritional uses,6.2
Belize,Fruits and their products,32.0
Belize,Meat and meat products,273.4
Belize,Milk and milk products,122.8
Belize,Miscellaneous,64.4
Belize,"Pulses, seeds and nuts and their products",171.8
Belize,"Roots, tubers, plantains and their products",44.4
Belize,Spices and condiments,4.2
Belize,Sweets and sugars,435.4
Belize,Vegetables and their products,32.0
Bhutan,Beverages,73.4
Bhutan,Cereals and their products,1895.6
Bhutan,Eggs and their products,22.8
Bhutan,Fats and oils,461.2
Bhutan,"Fish, shellfish and their products",13.8
Bhutan,Foods for particular nutritional uses,1.2
Bhutan,Fruits and their products,35.8
Bhutan,Meat and meat products,71.4
Bhutan,Milk and milk products,114.2
Bhutan,Miscellaneous,12.6
Bhutan,"Pulses, seeds and nuts and their products",62.2
Bhutan,"Roots, tubers, plantains and their products",115.4
Bhutan,Spices and condiments,74.6
Bhutan,Sweets and sugars,201.8
Bhutan,Vegetables and their products,46.2
Bolivia (Plurinational State of),Beverages,116.6
Bolivia (Plurinational State of),Cereals and their products,967.2
Bolivia (Plurinational State of),Eggs and their products,24.4
Bolivia (Plurinational State of),Fats and oils,163.6
Bolivia (Plurinational State of),"Fish, shellfish and their products",5.0
Bolivia (Plurinational State of),Foods for particular nutritional uses,2.8
Bolivia (Plurinational State of),Fruits and their products,72.6
Bolivia (Plurinational State of),Meat and meat products,355.4
Bolivia (Plurinational State of),Milk and milk products,76.0
Bolivia (Plurinational State of),Miscellaneous,5.0
Bolivia (Plurinational State of),"Pulses, seeds and nuts and their products",98.6
Bolivia (Plurinational State of),"Roots, tubers, plantains and their products",248.2
Bolivia (Plurinational State of),Spices and condiments,3.2
Bolivia (Plurinational State of),Sweets and sugars,222.0
Bolivia (Plurinational State of),Vegetables and their products,33.8
Bosnia and Herzegovina,Beverages,243.8
Bosnia and Herzegovina,Cereals and their products,1153.4
Bosnia and Herzegovina,Eggs and their products,20.6
Bosnia and Herzegovina,Fats and oils,276.8
Bosnia and Herzegovina,"Fish, shellfish and their products",12.6
Bosnia and Herzegovina,Foods for particular nutritional uses,3.0
Bosnia and Herzegovina,Fruits and their products,208.4
Bosnia and Herzegovina,Meat and meat products,237.0
Bosnia and Herzegovina,Milk and milk products,316.0
Bosnia and Herzegovina,Miscellaneous,26.4
Bosnia and Herzegovina,"Pulses, seeds and nuts and their products",127.4
Bosnia and Herzegovina,"Roots, tubers, plantains and their products",167.0
Bosnia and Herzegovina,Spices and condiments,68.0
Bosnia and Herzegovina,Sweets and sugars,367.2
Bosnia and Herzegovina,Vegetables and their products,176.8
Botswana,Beverages,278.2
Botswana,Cereals and their products,1240.2
Botswana,Eggs and their products,5.0
Botswana,Fats and oils,306.6
Botswana,"Fish, shellfish and their products",6.0
Botswana,Foods for particular nutritional uses,4.4
Botswana,Fruits and their products,35.4
Botswana,Meat and meat products,159.2
